company,job_id,job_title,department,location,url,post_date,scrape_date
Airbnb,6612475,"Senior Manager, Experience Research ",Engineering,United States,https://careers.airbnb.com/positions/6612475?gh_jid=6612475,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,6788055,"Senior Manager, Experiences Acquisition, APAC",Design,Singapore,https://careers.airbnb.com/positions/6788055?gh_jid=6788055,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,6817300,"Senior Manager, Premium Support",Customer Support,United States,https://careers.airbnb.com/positions/6817300?gh_jid=6817300,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,6639450,"Senior Manager, Product Lead (Pilot Product)",Product,China,https://careers.airbnb.com/positions/6639450?gh_jid=6639450,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7002763,"Senior Manager, Product Specialist Program",Product,United States ,https://careers.airbnb.com/positions/7002763?gh_jid=7002763,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,6989713,"Senior Manager, Strategy and Implementation",,"Gurugram, India",https://careers.airbnb.com/positions/6989713?gh_jid=6989713,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7179387,"Senior Manager, Technical Program Management (Infrastructure)",,United States,https://careers.airbnb.com/positions/7179387?gh_jid=7179387,2025-08-19T19:51:52-04:00,22-08-2025
Airbnb,7177256,"Senior Marketing Lead, ANZ",Marketing,"Sydney, New South Wales, Australia",https://careers.airbnb.com/positions/7177256?gh_jid=7177256,2025-08-19T22:08:54-04:00,22-08-2025
Airbnb,7116707,Senior Market Manager ,,"Massachusetts, United States ",https://careers.airbnb.com/positions/7116707?gh_jid=7116707,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7030459,"Senior Market Manager, Experiences",,"Rome, Italy",https://careers.airbnb.com/positions/7030459?gh_jid=7030459,2025-08-08T13:38:33-04:00,22-08-2025
Airbnb,6664726,"Senior Market Manager, Experiences, Berlin",,"Berlin, Germany",https://careers.airbnb.com/positions/6664726?gh_jid=6664726,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,6791801,"Senior Market Manager, Japan",,"Tokyo, Japan",https://careers.airbnb.com/positions/6791801?gh_jid=6791801,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7067255,"Senior Partnerships Lead, Host Liability Program",Sales & Partnerships,United States ,https://careers.airbnb.com/positions/7067255?gh_jid=7067255,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,6688969,"Senior Platform Product Manager, Community Experience Platform Products",Engineering,United States ,https://careers.airbnb.com/positions/6688969?gh_jid=6688969,2025-08-08T18:28:33-04:00,22-08-2025
Airbnb,7165190,Senior Policy Products Manager,Product,United States ,https://careers.airbnb.com/positions/7165190?gh_jid=7165190,2025-08-13T13:31:38-04:00,22-08-2025
Airbnb,6153760,"Senior Product Program Manager, Roadmap Planning & Program Management ",Product,"San Francisco, United States ",https://careers.airbnb.com/positions/6153760?gh_jid=6153760,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7118373,"Senior Program Manager, Community Support",Product,United States ,https://careers.airbnb.com/positions/7118373?gh_jid=7118373,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7088693,Senior Quality Assurance Specialist - Customer Support,Customer Support,"Dublin, Ireland",https://careers.airbnb.com/positions/7088693?gh_jid=7088693,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,6873491,Senior Routing & Channel Optimisation Coordinator,Business Development,Dublin,https://careers.airbnb.com/positions/6873491?gh_jid=6873491,2025-08-12T04:18:03-04:00,22-08-2025
Airbnb,6963618,Senior Sales Operations Manager,Sales & Partnerships,"Ireland, United Kingdom",https://careers.airbnb.com/positions/6963618?gh_jid=6963618,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7134785,"Senior Security Engineer, Threat Detection & Response",Engineering,United States,https://careers.airbnb.com/positions/7134785?gh_jid=7134785,2025-08-07T13:54:04-04:00,22-08-2025
Airbnb,7107439,"Senior Software Engineer, Analytics Infrastructure",Engineering,Remote USA,https://careers.airbnb.com/positions/7107439?gh_jid=7107439,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7009340,"Senior Software Engineer, API Infra",Engineering,Remote - USA,https://careers.airbnb.com/positions/7009340?gh_jid=7009340,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7125301,"Senior Software Engineer, Booking Orchestration",Engineering,United States,https://careers.airbnb.com/positions/7125301?gh_jid=7125301,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,6573479,"Senior Software Engineer, Community Support Engineering ",Engineering,"Remote, USA ",https://careers.airbnb.com/positions/6573479?gh_jid=6573479,2025-08-07T20:36:23-04:00,22-08-2025
Airbnb,6567660,"Senior Software Engineer, Community Support Engineering(Multiple roles)",Engineering,China,https://careers.airbnb.com/positions/6567660?gh_jid=6567660,2025-08-13T22:46:01-04:00,22-08-2025
Airbnb,7070135,"Senior Software Engineer, Database Infrastructure Service",Engineering,United States,https://careers.airbnb.com/positions/7070135?gh_jid=7070135,2025-08-19T14:25:45-04:00,22-08-2025
Airbnb,7095216,"Senior Software Engineer, Data Engineering",Engineering,United States,https://careers.airbnb.com/positions/7095216?gh_jid=7095216,2025-08-07T22:32:50-04:00,22-08-2025
Airbnb,7140643,"Senior Software Engineer, Data Security",Engineering,United States,https://careers.airbnb.com/positions/7140643?gh_jid=7140643,2025-08-12T11:40:54-04:00,22-08-2025
Airbnb,7070179,"Senior Software Engineer, Distributed Transactional Database",Engineering,United States,https://careers.airbnb.com/positions/7070179?gh_jid=7070179,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7175614,"Senior Software Engineer, Growth Platform",Engineering,United States,https://careers.airbnb.com/positions/7175614?gh_jid=7175614,2025-08-18T14:07:56-04:00,22-08-2025
Airbnb,7125258,"Senior Software Engineer, Guest Displays & Platform",Engineering,United States,https://careers.airbnb.com/positions/7125258?gh_jid=7125258,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,6292190,"Senior Software Engineer, Guest & Host",Engineering,United States,https://careers.airbnb.com/positions/6292190?gh_jid=6292190,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7144502,"Senior Software Engineer, Guest & Host",Engineering,Remote-USA,https://careers.airbnb.com/positions/7144502?gh_jid=7144502,2025-08-19T23:10:36-04:00,22-08-2025
Airbnb,7174313,"Senior Software Engineer, Guest & Host - Notifications",Engineering,China,https://careers.airbnb.com/positions/7174313?gh_jid=7174313,2025-08-18T21:07:37-04:00,22-08-2025
Airbnb,7081518,"Senior Software Engineer,  ML Infrastructure",Engineering,United States,https://careers.airbnb.com/positions/7081518?gh_jid=7081518,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7168933,"Senior Software Engineer, Payments",Engineering,"Remote, USA ",https://careers.airbnb.com/positions/7168933?gh_jid=7168933,2025-08-14T17:31:34-04:00,22-08-2025
Airbnb,7097017,"Senior Software Engineer, Payments Transactions",Engineering,"Remote, CA ",https://careers.airbnb.com/positions/7097017?gh_jid=7097017,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7116556,"Senior Software Engineer, Trust",Engineering,"Remote, USA ",https://careers.airbnb.com/positions/7116556?gh_jid=7116556,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7070423,"Senior Software Engineer, Unified Data Store",Engineering,United States,https://careers.airbnb.com/positions/7070423?gh_jid=7070423,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7097609,"Senior Software Engineer, User Product",Engineering,United States,https://careers.airbnb.com/positions/7097609?gh_jid=7097609,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7173405,"Senior Software Engineer, Workflow Orchestration",Engineering,"San Francisco, CA",https://careers.airbnb.com/positions/7173405?gh_jid=7173405,2025-08-15T21:43:08-04:00,22-08-2025
Airbnb,7028898,"Senior Specialist, Safety",,"Gurugram, India",https://careers.airbnb.com/positions/7028898?gh_jid=7028898,2025-08-07T13:14:03-04:00,22-08-2025
